asof_date,ticker,marketCap,sharesOutstanding,enterpriseValue,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,dividendYield,returnOnEquity,returnOnAssets,profitMargins,grossMargins,operatingMargins,debtToEquity,currentRatio,revenueGrowth,earningsGrowth,beta,sector,industry,currency,country,salesGrowth
2026-06-09,ABI.BR,135238303744,1713251411,208157573120.0,22.254776,16.524939,1.8167707,2.2185125,10.556,1.69,,,0.11897001,0.56172,0.26685,75.033,,0.12,0.203,0.791,Consumer Defensive,Beverages - Brewers,EUR,Belgium,-0.0074956498460714
2026-06-09,AD.AS,31480705024,880579129,47034703872.0,14.186508,11.999906,2.128483,0.3446126,8.725,4.13,0.14973,0.045939997,0.02476,0.26613,0.040359996,131.305,0.772,-0.043,0.033,0.334,Consumer Defensive,Grocery Stores,EUR,Netherlands,0.033517239835715
2026-06-09,ADS.DE,29679343616,177348936,34296334336.0,21.677462,14.321143,4.9017315,1.1754194,13.888,1.7,0.22917,0.06625,0.055209998,0.51362,0.1071,93.747,1.351,0.071,0.133,1.202,Consumer Cyclical,Footwear & Accessories,EUR,Germany,0.0476291010429421
2026-06-09,ADYEN.AS,25957851136,31536692,15382687744.0,24.511612,17.427538,4.9112153,10.923357,12.851,,0.22329001,0.059169997,0.44712,0.68093,0.49539003,4.775,1.722,0.169,0.119,1.844,Technology,Software - Infrastructure,EUR,Netherlands,0.1892953858306139
2026-06-09,AI.PA,107197685760,636490255,117493637120.0,30.51087,23.81279,3.7132087,3.9790974,15.668,2.03,0.13357,0.06305,0.13058,0.64175004,0.19473,50.657,1.173,-0.034,0.053,0.644,Basic Materials,Specialty Chemicals,EUR,France,-0.0043462513582035
2026-06-09,AIR.PA,138347462656,787228125,137229467648.0,27.719244,20.502281,5.302477,1.9074779,17.929,1.81,0.19748,0.024820002,0.06913,0.15366,0.014780001,55.655,1.14,-0.066,-0.265,0.88,Industrials,Aerospace & Defense,EUR,Netherlands,0.0605228946988298
2026-06-09,ALV.DE,143332278272,379286270,119438278656.0,12.198193,11.429332,2.1750016,1.2410258,6.057,4.57,0.18706,0.0115,0.10426,0.24341999,0.19285999,,174.873,0.088,0.524,0.667,Financial Services,Insurance - Diversified,EUR,Germany,-0.0178424689346681
2026-06-09,ASML.AS,581364023296,385417665,578056159232.0,58.239384,36.38396,27.909557,17.254896,45.5,0.71,0.52236,0.15664,0.29713,0.52603,0.36020002,12.989,1.36,0.132,0.192,1.396,Technology,Semiconductor Equipment & Materials,EUR,Netherlands,0.1558368037250246
2026-06-09,BAS.DE,42911883264,884325217,64587108352.0,28.544117,16.495453,1.2432745,0.72525495,11.17,4.61,0.044109996,0.01721,0.02937,0.23423,0.07678,66.724,1.913,-0.03,0.166,0.731,Basic Materials,Chemicals,EUR,Germany,-0.0290838663476717
2026-06-09,BAYN.DE,34866233344,982424082,67406569472.0,,7.538041,1.2087463,0.77066076,6.636,0.31,-0.06928,0.03637,-0.04765,0.59918,0.26319,134.269,1.055,-0.024,1.129,0.845,Healthcare,Drug Manufacturers - General,EUR,Germany,-0.0221216152426726
2026-06-09,BBVA.MC,107564097536,5557432414,126108213248.0,10.634615,8.750554,2.015936,3.2983992,,4.74,0.19042999,0.013710001,0.33124,0.0,0.54861,,,0.119,0.133,0.885,Financial Services,Banks - Diversified,EUR,Spain,0.0045877405377852
2026-06-09,BMW.DE,41721856000,554226093,140817121280.0,6.1411977,5.6191354,0.43597978,0.3192136,9.601,6.31,0.0709,0.020539999,0.05217,0.13136,0.06553,112.684,1.173,-0.081,,0.739,Consumer Cyclical,Auto Manufacturers,EUR,Germany,-0.0626984126984127
2026-06-09,BN.PA,41905278976,641734719,49685295104.0,23.15603,15.591984,2.4710512,1.5359484,11.115,3.51,0.108430006,0.05074,0.06689,0.50618,0.13709,89.092,0.905,-0.005,-0.025,0.199,Consumer Defensive,Packaged Foods,EUR,France,-0.0033971361776738
