date,ABI.BR,AD.AS,ADS.DE,ADYEN.AS,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CS.PA,DB1.DE,DG.PA,DHL.DE,DTE.DE,EL.PA,ENEL.MI,ENI.MI,IBE.MC,IFX.DE,INGA.AS,ISP.MI,ITX.MC,KER.PA,MBG.DE,MUV2.DE,NDA-FI.HE,NOKIA.HE,OR.PA,PRX.AS,RACE.MI,RI.PA,RMS.PA,SAF.PA,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,STLAM.MI,SU.PA,TTE.PA,UCG.MI,VOW3.DE,^STOXX50E
2025-01-02,47.1117,29.6621,230.2179,1428.0000,136.2636,153.7779,272.0092,680.1049,38.7785,19.2401,8.5032,69.9837,60.9408,52.2863,30.8248,216.8420,92.9960,30.9508,27.4492,225.1879,6.2688,12.1279,12.5841,30.8732,13.4627,3.4756,47.7854,225.2751,45.4755,453.5046,9.0958,4.1209,325.6843,38.4844,401.4633,99.1472,2254.3586,210.1419,4.2224,85.5574,232.4677,81.3990,180.9494,11.5849,233.6807,49.4114,35.5257,76.8318,
2025-01-03,45.7783,29.9145,227.2028,1437.0000,135.1970,152.2799,272.1008,678.1336,37.8045,18.8451,8.5215,68.4783,60.8093,51.6157,30.5114,215.0980,92.2684,30.7226,27.5809,221.3419,6.2581,12.1351,12.7416,30.4848,13.4467,3.4747,47.4625,214.2907,45.1057,455.5346,9.0915,4.0922,319.8083,38.2850,397.6371,96.0888,2191.6562,206.9150,4.2181,84.2421,228.8620,79.6336,178.7105,11.1774,232.3266,49.6597,35.4933,76.3569,4871.4502
2025-01-06,45.9329,29.6808,232.9412,1479.4000,138.2919,153.2978,274.0255,737.0760,38.4735,19.5696,8.9111,71.5070,60.6215,52.9747,30.8517,213.4508,93.2385,31.2154,27.1386,224.0341,6.2732,12.2882,12.7926,32.7220,13.6187,3.5473,48.3551,219.5441,46.7311,458.3949,9.0915,4.0922,325.5880,35.5091,403.5236,98.9646,2290.6086,208.9685,4.3634,85.8658,233.1499,81.9116,184.7383,11.6143,242.9177,50.3127,36.5994,78.6964,4986.6401
2025-01-07,46.1261,30.2604,236.6372,1480.0000,139.2361,152.1070,275.2168,727.8109,38.6374,19.6351,9.0300,70.6647,61.5608,53.3012,31.1293,215.8731,94.3485,31.4709,27.2986,225.7649,6.2411,12.3080,12.7046,33.3907,13.5815,3.5306,48.2792,221.4544,46.7139,465.7765,9.3810,4.2854,323.9022,34.6070,407.1537,99.2842,2317.0615,211.1198,4.4056,86.9453,237.0966,80.9624,185.1784,11.7392,244.7554,50.5610,36.6920,78.9602,5011.8198
2025-01-08,45.7976,30.2697,237.9988,1478.4000,137.8198,152.2799,276.4083,713.9130,38.1959,19.5160,9.0556,68.7829,60.8281,53.0717,31.2099,218.8767,93.0333,31.4709,27.3739,224.8033,6.2349,12.3171,12.6814,32.1614,13.5483,3.5821,48.1272,216.5353,45.8453,465.0383,9.3129,4.2678,319.2785,34.2532,412.2554,98.5995,2321.9600,211.4131,4.3821,86.7820,238.5096,80.9054,187.1877,11.4289,243.1595,50.7265,37.5759,78.5556,4996.3901
2025-01-09,46.0102,30.4567,239.2632,1489.6000,138.4318,150.3594,275.4001,723.3754,38.1504,19.6073,9.1397,67.6718,61.5795,52.9041,30.8159,221.5897,93.3691,31.0238,27.5338,226.5341,6.2759,12.3765,12.7324,31.7435,13.6075,3.6015,48.5261,218.4934,45.6303,455.9959,9.2661,4.2096,319.7120,34.5372,412.0591,99.6037,2328.8181,215.7157,4.3821,87.3535,238.8994,81.4180,188.1062,11.4014,247.2218,50.8552,37.5343,78.8898,5017.9102
2025-01-10,44.1068,30.3351,237.1235,1472.4000,136.4559,151.3004,271.2760,714.8987,37.7999,19.8296,9.0867,68.4424,60.4900,52.3746,30.3054,218.4892,92.3990,30.8048,27.7032,226.0533,6.2197,12.3819,12.4223,31.6796,13.4963,3.6213,47.6144,217.5860,47.3331,447.0458,9.2618,4.2081,315.3772,33.6452,410.5875,95.6323,2319.0210,215.5201,4.3812,86.7276,239.5816,79.7854,186.0970,11.2692,242.3374,50.8093,37.0391,79.4703,4977.2598
2025-01-13,43.9232,30.1949,232.2604,1390.8000,136.8056,149.2646,269.3514,701.2966,38.0776,19.8822,9.3693,68.2991,60.0955,52.6305,29.9830,218.8767,92.1192,30.5949,28.0890,224.4187,6.1438,12.4972,12.3799,31.9205,13.9247,3.5758,46.4464,217.2039,47.6857,446.2154,9.3469,4.1457,316.3405,33.1468,399.2068,95.6323,2305.3047,214.0533,4.3999,86.1470,237.6813,79.4438,184.8340,11.0525,239.8709,51.4254,37.3168,79.9452,4954.2100
2025-01-14,43.5367,30.3725,230.8015,1432.2000,136.2986,149.7832,270.9095,702.4794,38.6920,19.4525,9.4607,68.0840,59.8325,53.6630,30.1442,221.5897,92.4736,30.1569,28.4184,224.5149,6.1760,12.3819,12.3704,32.2794,14.0054,3.6751,46.8737,212.4821,47.7717,449.1680,9.4320,4.1910,314.6548,33.7747,402.9350,94.9020,2311.1831,217.5736,4.4938,84.5778,241.0920,79.9563,185.5803,11.1076,241.7086,51.1311,37.8860,80.8071,4980.4702
2025-01-15,43.6720,30.9147,234.4974,1465.6000,136.7357,148.2468,276.1333,702.4794,40.3032,20.5719,9.5201,69.0338,60.2458,54.7837,30.8069,222.0741,93.2199,31.4435,28.2490,227.5918,6.2902,12.5981,12.5024,32.8498,14.1756,3.6791,47.7474,215.1321,48.4167,457.9336,9.5044,4.2844,317.4001,34.4774,410.6856,93.8521,2316.0815,217.3781,4.5701,86.9181,247.1340,81.5319,187.1303,11.3187,243.6915,51.4346,38.6543,82.0912,5032.3101
